,419
314,420
314,421
315,422
315,423
315,424
315,425
315,427
315,428
315,429
315,430
315,431
315,432
315,433
314,434
314,435
314,436
314,437
314,438
314,439
315,439
314,440
315,441
315,442
315,443
315,444
316,445
316,446
316,447
316,448
316,449
316,450
316,451
315,452
315,453
315,454
315,455
315,456
315,457
315,458
315,459
315,460
316,461
316,462
316,463
316,464
317,465
317,466
317,467
317,468
316,470
317,471
316,472
316,473
316,474
316,475
316,476
315,477
316,478
315,479
316,480
316,481
316,482
316,483
317,484
317,485
317,486
317,487
317,488
317,489
317,490
317,491
316,491
316,492
316,493
316,494
316,495
316,496
316,497
316,498
316,499
316,500
317,501
317,502
317,503
317,504
317,505
317,506
317,507
317,508
317,509
317,510
317,512
316,513
316,514
316,515
316,516
316,517
316,518
316,519
316,520
316,521
316,522
317,523
317,524
317,525
318,526
317,527
318,528
318,529
318,530
318,531
317,532
317,533
317,534
317,535
317,536
317,537
317,538
317,539
317,540
317,541
317,542
317,543
318,543
318,544
318,545
318,546
318,547
318,548
318,549
318,550
318,551
318,552
317,553
317,555
317,556
317,557
317,558
317,559
317,560
317,561
317,562
317,563
317,564
317,565
317,566
317,567
317,568
317,569
317,570
317,571
317,572
316,573
316,574
316,575
316,576
316,577
316,578
316,579
316,580
316,581
316,582
317,583
317,584
317,585
317,586
317,587
318,588
317,589
317,590
317,591
317,592
317,593
316,594
316,594
316,595
316,596
316,598
316,599
316,600
316,601
316,602
316,603
317,604
317,605
317,606
317,607
317,608
317,609
317,610
316,611
316,612
316,613
316,614
315,615
315,616
315,617
315,618
315,619
315,620
315,621
315,622
315,623
315,624
316,625
316,626
316,627
316,628
316,629
316,630
315,631
315,632
315,633
315,634
314,635
314,636
314,637
314,638
314,640
314,641
314,642
314,643
315,644
315,645
315,646
315,647
315,648
315,648
315,649
315,650
315,651
314,652
314,653
314,654
314,655
313,656
313,657
313,658
313,659
313,660
313,661
313,662
314,663
314,664
314,665
314,666
314,667
314,668
314,669
314,670
313,671
313,672
313,673
313,674
313,675
313,676
312,677
313,678
312,679
312,680
313,681
313,683
313,684
313,685
313,686
313,687
313,688
313,689
313,690
313,691
313,692
312,693
312,694
312,695
312,696
312,697
312,698
312,699
312,700
312,700
312,701
312,702
312,703
312,704
312,705
313,706
313,707
313,708
312,709
313,710
312,711
312,712
312,713
312,714
312,715
312,716
312,717
312,718
312,719
312,720
312,721
312,722
312,723
313,724
313,726
313,727
313,728
313,729
313,730
313,731
312,732
312,733
312,734
312,735
312,736
312,737
311,738
312,739
312,740
311,741
312,742
312,743
312,744
312,745
312,746
313,747
312,748
312,749
312,750
312,751
312,752
312,752
312,753
312,754
311,755
311,756
311,757
311,758
311,759
311,760
312,761
312,762
312,763
312,764
312,765
312,766
312,768
312,769
312,770
312,771
312,772
312,773
311,774
311,775
311,776
311,777
311,778
311,779
311,780
311,781
311,782
311,783
312,784
312,785
312,786
312,787
